year,Revenue,Revenue_growth_rate,Pre_tax_op_margin,Pre_tax_op_income,Taxes,After_tax_op_income,Taxes_val,Chge_revenues,sales_to_capital,reinvestment,FCFF,Invested_capital,Implied_ROIC,Cost_of_capital,Cum_cost_of_capital,Preset_value
2016,6910.0,,0.27568740955137483,1905.0,0.12545931758530185,1666.0,239.0,0.0,3.964,0.0,1666.0,1743.0,0.9558232931726908,0.0,0.0,0.0
2017,9714.0,0.4057887120115775,0.3290096767551987,3196.0,0.046620775969962454,3047.0,149.0,2804.0,4.111,682.0,2365.0,2363.0,1.2894625476089716,0.0,0.0,0.0
2018,11716.0,0.20609429689108505,0.33253670194605667,3896.0,-0.06288501026694045,4141.0,-245.0,2002.0,2.998,668.0,3473.0,3908.0,1.0596212896622312,0.0,0.0,0.0
2019,10918.0,-0.06811198361215431,0.27202784392745927,2970.0,0.05858585858585859,2796.0,174.0,-798.0,3.31,-241.0,3037.0,3298.0,0.8477865372953305,0.0,0.0,0.0
2020,16675.0,0.5272943762593882,0.26440779610194903,4409.0,0.017464277613971423,4332.0,77.0,5757.0,1.356,4245.0,87.0,12295.0,0.35233834892232613,0.0,0.0,0.0
2021,26914.0,0.6140329835082459,0.36936167050605634,9941.0,0.019012171813700834,9752.0,189.0,10239.0,1.646,6220.0,3532.0,16350.0,0.5964525993883792,0.0,0.0,0.0
2022,26974.0,0.002229323028906993,0.15500111218210127,4181.0,-0.044726142071274816,4368.0,-187.0,60.0,1.365,44.0,4324.0,19758.0,0.22107500759186152,0.0,0.0,0.0
2023,59649.36,0.8252,0.399,23774.3,0.1,21396.87,2377.4300000000003,26968.36,0.891,30268.0,-8871.0,66554.71,0.321,0.15,1.150092303565284,-7712.989620486115
2024,86801.75,0.4552,0.399,34610.17,0.1,31149.16,3461.0099999999984,27152.39,1.15,23611.0,7538.0,90165.48,0.345,0.15,1.3227123067201012,5699.190944017728
2025,114205.06,0.3157,0.399,45554.78,0.1,40999.31,4555.470000000001,27403.31,1.15,23829.0,17170.0,113994.45,0.36,0.15,1.5212412437898715,11287.059215685931
2026,141922.63,0.2427,0.399,56633.52,0.1,50970.17,5663.3499999999985,27717.57,1.15,24102.0,26868.0,138096.68,0.369,0.15,1.749567846348811,15356.900880449391
2027,170037.51,0.1981,0.399,67879.68,0.1,61091.71,6787.969999999994,28114.87,1.15,24448.0,36644.0,162544.4,0.376,0.15,2.0121645146510567,18211.234585038237
2028,206612.57,0.2151,0.399,82513.49,0.13,71786.73,10726.76000000001,36575.07,1.15,31804.0,39982.0,194348.81,0.369,0.138,2.2906604277731484,17454.494570750743
2029,241798.69,0.1703,0.399,96604.02,0.16,81147.38,15456.64,35186.12,1.15,30597.0,50551.0,224945.43,0.361,0.127,2.5809328395313624,19586.23224352434
2030,275360.35,0.1388,0.4,110056.49,0.19,89145.75,20910.740000000005,33561.66,1.15,29184.0,59962.0,254129.48,0.351,0.115,2.877827344819854,20835.753092669802
2031,307081.86,0.1152,0.4,122783.87,0.22,95771.42,27012.449999999997,31721.51,1.15,27584.0,68188.0,281713.41,0.34,0.103,3.175243976537654,21474.727770164274
2032,336776.68,0.0967,0.4,134710.67,0.25,101033.0,33677.67000000001,29694.82,1.15,25822.0,75211.0,307534.99,0.329,0.092,3.46629147498688,21697.950256847536
2033,348900.64,0.036,0.4,139560.26,0.25,104670.19,34890.07000000001,12123.96,1.15,10543.0,94128.0,351865.89,0.297,0.092,3.78401681204614,24875.05332966588
