year,Revenue,Revenue_growth_rate,Pre_tax_op_margin,Pre_tax_op_income,Taxes,After_tax_op_income,Taxes_val,Chge_revenues,sales_to_capital,reinvestment,FCFF,Invested_capital,Implied_ROIC,Cost_of_capital,Cum_cost_of_capital,Preset_value,stock_symbol
2016,6910.0,,0.27568740955137483,1905.0,0.12545931758530185,1666.0,239.0,0.0,3.964,0.0,1666.0,1743.0,0.9558232931726908,0.0,0.0,0.0,NVDA
2017,9714.0,0.4057887120115775,0.3290096767551987,3196.0,0.046620775969962454,3047.0,149.0,2804.0,4.111,682.0,2365.0,2363.0,1.2894625476089716,0.0,0.0,0.0,NVDA
2018,11716.0,0.20609429689108505,0.33253670194605667,3896.0,-0.06288501026694045,4141.0,-245.0,2002.0,2.998,668.0,3473.0,3908.0,1.0596212896622312,0.0,0.0,0.0,NVDA
2019,10918.0,-0.06811198361215431,0.27202784392745927,2970.0,0.05858585858585859,2796.0,174.0,-798.0,3.31,-241.0,3037.0,3298.0,0.8477865372953305,0.0,0.0,0.0,NVDA
2020,16675.0,0.5272943762593882,0.26440779610194903,4409.0,0.017464277613971423,4332.0,77.0,5757.0,1.356,4245.0,87.0,12295.0,0.35233834892232613,0.0,0.0,0.0,NVDA
2021,26914.0,0.6140329835082459,0.36936167050605634,9941.0,0.019012171813700834,9752.0,189.0,10239.0,1.646,6220.0,3532.0,16350.0,0.5964525993883792,0.0,0.0,0.0,NVDA
2022,26974.0,0.002229323028906993,0.15500111218210127,4181.0,-0.044726142071274816,4368.0,-187.0,60.0,1.365,44.0,4324.0,19758.0,0.22107500759186152,0.0,0.0,0.0,NVDA
2023,59649.36,0.8252,0.399,23775.84,0.1,21398.26,2377.5800000000017,26968.36,0.891,30268.0,-8869.0,66545.39,0.322,0.152,1.1516901561417225,-7701.081712561399,NVDA
2024,86801.75,0.4552,0.399,34612.17,0.1,31150.95,3461.2199999999975,27152.39,1.15,23611.0,7540.0,90156.16,0.346,0.152,1.3263902157537453,5684.737349871928,NVDA
2025,114205.06,0.3157,0.399,45557.08,0.1,41001.37,4555.709999999999,27403.31,1.15,23829.0,17172.0,113985.13,0.36,0.152,1.527590554686284,11241.493964020116,NVDA
2026,141922.63,0.2427,0.399,56635.97,0.1,50972.37,5663.5999999999985,27717.57,1.15,24102.0,26870.0,138087.36,0.369,0.152,1.759311004447267,15273.104034520577,NVDA
2027,170037.51,0.1981,0.399,67882.13,0.1,61093.91,6788.220000000001,28114.87,1.15,24448.0,36646.0,162535.08,0.376,0.152,2.026181165413724,18086.3392797935,NVDA
2028,206612.57,0.2151,0.399,82515.86,0.13,71788.8,10727.059999999998,36575.07,1.15,31804.0,39984.0,194339.49,0.369,0.14,2.3095384495122318,17312.718915090845,NVDA
2029,241798.69,0.1703,0.399,96606.11,0.16,81149.13,15456.979999999996,35186.12,1.15,30597.0,50552.0,224936.11,0.361,0.128,2.6051726407846707,19404.664093498897,NVDA
2030,275360.35,0.1388,0.4,110058.07,0.19,89147.04,20911.030000000013,33561.66,1.15,29184.0,59963.0,254120.16,0.351,0.116,2.907798717992712,20621.43766312448,NVDA
2031,307081.86,0.1152,0.4,122784.75,0.22,95772.11,27012.64,31721.51,1.15,27584.0,68188.0,281704.09,0.34,0.104,3.211144162462271,21234.85790426613,NVDA
2032,336776.68,0.0967,0.4,134710.67,0.25,101033.0,33677.67000000001,29694.82,1.15,25822.0,75211.0,307525.67,0.329,0.092,3.508107980405155,21439.311566263063,NVDA
2033,348900.64,0.036,0.4,139560.26,0.25,104670.19,34890.07000000001,12123.96,1.15,10543.0,94128.0,351856.57,0.297,0.092,3.832534753826062,24560.14779932037,NVDA
